"Ability check","属性检定",
"Ability Scores","属性值",
"Acolyte","侍僧",
"Acrobat","杂技师",
"action","行动",
"adept","修士",
"Advanced edition","高级版",
"Advanced Fantasy","《高级奇幻》",
"Adventure","冒险",
"After Reaching 9th Level","升至9级后",
"Air Breathing","气中呼吸",
"Air Elemental","气元素",
"Alchemist","炼金师",
"Alignment","阵营/阵营语",
"Amber Golem","琥珀魔像",
"Amphisbaena","双头蛇",
"Amulet of Protection Against Scrying","防护探知护符",
"Animal Friendship","动物友谊",
"Animal trainer","驯兽师",
"Animate Dead","活化尸体",
"Ankheg","掘地虫",
"Anti-Magic Shell","反魔罩",
"Ape, White","白猿",
"Apprentice","学徒",
"Aquatic Spider","水栖蜘蛛",
"Aranea","奥法蛛",
"Arcane Magic","奥秘魔法",
"Arcane spell","奥术",
"Arcane spell casters","奥术施法者",
"arch-druid","至高德鲁伊",
"armor","护甲",
"armour","护甲",
"armourer","军械师",
"Armourer","军械士",
"Arms","全副武装",
"Ascending Armour Class","上行护甲等级",
"Assassin","刺客",
"Assassination","刺杀",
"Assistant armourer","军械士助手",
"Attack Rolls","攻击掷骰",
"Back-Stab","背刺",
"Bag of Devouring","吞噬袋",
"Bag of Holding","次元袋",
"Bandit","盗匪",
"Banshee","女妖",
"Barbarian","野蛮人",
"Bard","吟游诗人",
"Barkskin","树肤",
"Baron","男爵",
"Baroness","女男爵",
"Barony","男爵领",
"base movement rate","基础移动速率",
"Basilisk","石化蜥蜴",
"Bat","蝙蝠",
"Bear","熊",
"Bear hug","熊抱",
"Beetle, Giant","巨甲虫",
"Behemoth","巨兽种",
"Berserker","狂战士",
"Beyond long range","长距射程外",
"Bite","噬咬",
"bite","噬咬",
"Black Bear","黑熊",
"Black Dragon","黑龙",
"Black Hag","黑鬼婆",
"Black Pudding","黑布丁怪",
"Black Widow","黑寡妇",
"Blacksmith","铁匠",
"Bless","祝福",
"Blight","降祸",
"Blink Dog","闪现犬",
"Blow","殴打",
"Blue Dragon","蓝龙",
"Boar","野猪",
"Bone Golem","骸骨魔像",
"bonus","奖励",
"Boots of Levitation","漂浮靴",
"Boots of Speed","加速靴",
"Boots of Travelling and Leaping","旅行与跳跃之靴",
"Brass Dragon","黄铜龙",
"Breath attacks","喷吐攻击",
"Brigand","劫匪",
"Bronze Dragon","青铜龙",
"Bronze Golem","青铜魔像",
"Broom of Flying","飞行扫帚",
"Brown Mould","棕霉菌",
"Brownie","棕仙",
"Buccaneer","水贼",
"Bugbear","熊地精/熊地精语",
"Bulette","鲨蜥兽",
"Bull Shark","牛鲨",
"Burglar","飞贼",
"butt","抵撞",
"Caecilia","蚓螈",
"Call Lightning","召雷",
"Camel","骆驼",
"Campaign","战役",
"Carcass Crawler","食尸爬虫",
"Cargo Capacity","载重量",
"Caryatid Column","女像石柱",
"Castle","城堡",
"Cat, Great","大猫",
"Catoblepas","凶沼豕牛",
"Cause Disease","引发疾病",
"Cause Fear","引发恐惧",
"Cause Light Wounds","造成轻伤",
"Cause Lt. Wounds","造成轻伤",
"Cause Serious Wounds","造成重伤",
"Cause Sr. Wounds","造成重伤",
"Cave Bear","穴熊",
"Cave Locust","洞穴蝗虫",
"Centaur","半人马",
"Centipede, Giant","巨蜈蚣",
"Champion","勇士",
"chance","概率",
"Charisma","魅力",
"Charm","魅惑",
"Charm Monster","魅惑怪物",
"charm person","魅惑类人",
"check","检定",
"Chimera","嵌合怪",
"Clairaudience","锐耳",
"Clairvoyance","视觉共感",
"Class","职业",
"Classic Fantasy","《经典奇幻》",
"Clay Golem","粘土魔像",
"Cleric","牧师",
"Climb sheer surfaces","攀爬陡坡",
"Cloud Giant","云巨人",
"Cloudkill","杀戮之云",
"Cockatrice","石化鸡蛇",
"Coffer Corpse","藏柩妖尸",
"coin","钱币",
"coma","昏迷",
"Common","通用语",
"Common Tongue","通行用语",
"Commune","通神","法术名称"
"Commune with Nature","问道自然",
"Complete cover","完全掩蔽",
"Concentration","专注",
"Confusion","困惑",
"Conjure Elemental","咒唤元素",
"Conjurer","咒术师",
"Constitution","体质",
"Constriction","紧勒",
"Contact Higher Plane","探知高层位面",
"Continual Darkness","恒久黑暗",
"Continual Light","恒久光亮",
"Control Animal","操控动物",
"Control Dragon","操控龙类",
"Control Giant","操控巨人",
"Control Human","操控人类",
"Control Plant","操控植物",
"Control Undead","操控亡灵",
"Control Weather","操纵天气",
"Copper Dragon","赤铜龙",
"Couatl","羽蛇",
"Cover","掩蔽",
"Crab Spider","蟹蛛",
"Crab, Giant","巨蟹",
"Create Food","创造食物",
"Create Water","造水",
"creature","生物",
"Crocodile","鳄鱼",
"crystal ball","水晶球",
"Crystal Ball with Clairaudience","水晶球（带听觉共感）",
"Crystal Ball with ESP","水晶球（带超感）",
"Crystal Living Statue","活体水晶雕像",
"Curate","助理牧师",
"Cure Disease","治愈疾病",
"Cure Light Wounds","治愈轻伤",
"Cure Serious Wounds","治愈重伤",
"Curse","诅咒",
"Cutpurse","扒手",
"Cyclops","独眼巨人",
"Dark Creeper","幽暗匍匐者",
"Darkness","黑暗",
"Death","死亡",
"Death Spell","死亡法咒",
"deep gnome","地底侏儒",
"Deep One","深潜者",
"Deity disfavour","神祇厌弃",
"Delusion","错觉",
"demihuman","亚人",
"Demonic Knight","魔灵骑士",
"Dervish","狂信僧",
"Detect Construction Tricks","侦测建筑机关",
"Detect Danger","侦测威胁",
"Detect Evil","侦测邪恶",
"Detect Invisible","侦测隐形",
"Detect Magic","侦测魔法",
"Detect Room Traps","侦测房间陷阱",
"Devil Swine","魔鬼猪猡",
"Dexterity","敏捷",
"Difficult Terrain","困难地形",
"Dimension Door","次元门",
"Diminution","缩小",
"Dire Wolf","凶暴狼",
"Disenchanter","祛魔兽",
"Disintegrate","解离",
"Dispel Evil","驱散邪恶",
"Dispel Magic","驱散魔法",
"Displacer Cloak","位移斗篷",
"Divine spell","神术",
"Divine spell casters","神术施法者",
"Djinni (Greater)","高级风巨灵",
"Djinni (Lesser)","次级风巨灵",
"Djinni Summoning","风巨灵召唤",
"doctrine","教义",
"Dog","狗",
"domain","领土",
"Doppelg?nger","变形怪/变形怪语",
"Draco","飞蜥",
"Draft Horse","驮马",
"Dragon","龙/龙语",
"Dragon Turtle","龙龟",
"Dragon, Multichromatic","多彩龙",
"Dragonne","龙狮",
"Drider","蛛化精灵",
"Driver Ant","矛蚁",
"Drow","卓尔",
"Druid","德鲁伊",
"Drums of Panic","恐慌之鼓",
"dryad","树精",
"Dryad","树精",
"Duergar","杜尔加",
"Dungeon Adventuring","地城冒险",
"dungeon level","地城层级",
"Dungeons","地城",
"Duration","持续时间",
"Dwarf","矮人",
"Dwarvish","矮人语",
"Earth Elemental","土元素",
"Echolocation","回声定位",
"Efreeti (Greater)","高级火巨灵",
"Efreeti (Lesser)","次级火巨灵",
"Efreeti Bottle","火巨灵囚瓶",
"Elder","长老",
"Elemental","元素",
"Elemental Summoning Device: Air","元素召唤装置：气",
"Elemental Summoning Device: Earth","元素召唤装置：土",
"Elemental Summoning Device: Fire","元素召唤装置：火",
"Elemental Summoning Device: Water","元素召唤装置：水",
"Elephant","象",
"Elf","精灵",
"Elven Cloak and Boots","精灵斗篷和靴子",
"Elvish","精灵语",
"Enchanter","附魔师",
"Enchantress","女附魔师",
"Encounter","遭遇",
"encounter movement rate","遭遇移动速率",
"Encumbrance","负载",
"energy drain","能量流失",
"Engineer","工程师",
"Entangle","纠缠",
"ESP","超感",
"Ettin","双头巨人",
"Evasion","回避",
"experience","经验",
"Expert Adventurers","专家级冒险者",
"Eye of Terror","恐惧之眼",
"Eye of the Deep","深渊之眼",
"Faerie Fire","妖火",
"Faint breeze","轻风",
"Falling","坠落",
"Falling（FA）","轻身坠",
"Feeblemind","弱智",
"Ferret, Giant","巨雪貂",
"Fighter","战士",
"Find or remove treasure traps","寻找或拆除财宝陷阱",
"Find Traps","寻找陷阱",
"Finger of Death","死亡一指",
"Fire Ball","火球",
"Fire Beetle","火甲虫",
"Fire Elemental","火元素",
"Fire Giant","火巨人",
"Fire Resistance","火焰抗性",
"Fish, Giant","巨鱼",
"Flail Snail","连枷蜗牛",
"Flame Lizard","火蜥蜴",
"Flame Salamander","火魔螈",
"Flesh Golem","血肉魔像",
"Flesh to Stone","化肉为石",
"Floating Disc","浮空碟",
"Fly","飞行",
"Flying","飞行",
"Flying Carpet","飞毯",
"Footpad","拦路贼",
"Forced March","强行军",
"Fresh breeze","清风",
"Freshwater Termite","淡水白蚁",
"Frog, Giant","巨蛙",
"Frost Giant","霜巨人",
"Frost Salamander","冰魔螈",
"Frost Toad","霜蟾蜍",
"Gale or storm","狂风或暴风",
"Gargoyle","石像鬼/石像鬼语",
"Gas Spore","毒气孢子",
"Gaseous Form","气化形态",
"Gauntlets of Ogre Power","食人魔之力手甲",
"Geas","指使",
"Gecko","壁虎",
"Gelatinous Cube","胶质怪",
"Gems","宝石",
"Gentle breeze","微风",
"Ghast","妖鬼",
"Ghost","鬼魂",
"Ghoul","食尸鬼",
"Giant","巨人",
"Giant Bass","巨鲈鱼",
"Giant Bat","巨蝙蝠",
"Giant Catfish","巨鲇鱼",
"Giant Crocodile","巨鳄鱼",
"Giant Electric Eel","巨电鳗",
"Giant Hawk","巨鹰",
"Giant Monster","巨型怪物",
"Giant Mutant Frog","变异巨蛙",
"Giant Pike","巨梭子鱼",
"Giant Piranha","巨食人鱼",
"Giant Poisonous Frog","毒巨蛙",
"Giant Rat","巨鼠",
"Giant Rattler","巨响尾蛇",
"Giant Roc","巨型覆天雕",
"Giant Rockfish","巨岩鱼",
"Giant Strength","巨人之力",
"Giant Sturgeon","巨鲟鱼",
"Giant Swordfish","巨剑鱼",
"Giant Vampire Bat","巨型吸血蝙蝠",
"Gibbering Mouther","呓语喉孽",
"Girdle of Giant Strength","巨人之力腰带",
"gnoll","鬣狗人/鬣狗人语",
"Gnome","侏儒",
"Gnomish","侏儒语",
"Goblin","地精/地精语",
"Gold Dragon","金龙",
"Golem","魔像",
"gore","角顶",
"Gorgon","石化牛",
"Gorilla","大猩猩",
"Great White Shark","大白鲨",
"Green Dragon","绿龙",
"Green Slime","绿软泥",
"Grey Ooze","灰泥怪",
"Griffon","狮鹫",
"Grimoire","魔典",
"Grizzly Bear","灰熊",
"Growth","生长",
"Growth of Animal","动物生长",
"Growth of Nature","自然滋长",
"Growth of Plants","植物生长",
"Gullygug","蛙蛮",
"Hag","鬼婆",
"Half-Elf","半精灵",
"Half-Orc","半兽人",
"Halfling","半身人/半身人语",
"Hallucinatory Terrain","幻景",
"Harpy","鸟身妖/鸟身妖语",
"Haste","加速",
"Hawk","鹰",
"Hazards","危害",
"Healing","治疗",
"Hear noise","发觉响动",
"Heat Metal","灼热金属",
"heir","继承人",
"Hellhound","地狱犬",
"Helm of Alignment Changing","阵营变换头盔",
"Helm of Reading Languages and Magic","阅读语言与魔法头盔",
"Helm of Telepathy","心灵感应头盔",
"Helm of Teleportation","传送头盔",
"Herd Animal","群居动物",
"Hero","英雄",
"Heroism","英雄气概",
"Hide in shadows","遁入阴影",
"High wind","疾风",
"Hill Giant","山丘巨人",
"Hippocampus","海马",
"Hippogriff","鹫马",
"Hippopotamus","河马",
"Hoard","宝藏",
"Hobgoblin","大地精/大地精语",
"Hold Animal","定身动物",
"Hold Monster","定身怪物",
"hold person","定身类人",
"Hold Person","定身类人",
"Hold Portal","封门",
"Holy Symbol","圣徽",
"Homunculus","人造人",
"hoof","踢打",
"Hook Beast","钩爪兽",
"Horn of Blasting","音爆号角",
"Horned Chameleon","长角变色龙",
"Horse","马匹",
"Hulker","地巨怪",
"Hull Points","结构值",
"Human dialect","人类方言",
"humanoid","类人生物",
"Hunting Dog","猎犬",
"Hydra","多头蛇",
"Illusionist","幻术师",
"Infravision","红外视觉",
"Inheritance","遗产",
"Initiative","先攻",
"Insect Plague","虫灾",
"Insect Swarm","虫类集群",
"Instant","即时",
"Intelligence","智力",
"Invisibility","隐形",
"Invisibility 10’ Radius","隐形·10'半径",
"Invisibility to Animals","动物无视",
"Invisible Stalker","隐形潜伏怪",
"Invulnerability","无敌",
"Iron Golem","铁魔像",
"Iron Living Statue","活体铁雕像",
"Jackalwere","豺人",
"Jellyfish, Giant","巨水母",
"Jewellery","珠宝",
"Killer Bee","杀人蜂",
"Killer Whale","杀人鲸",
"Knight","骑士",
"Knock","敲击",
"Know Alignment","知晓阵营",
